'woodp'=>2080000,'clayp'=>2400000,'ironp'=>2400000,'cropp'=>3599196,'upkeep'=>0
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398415,'upkeep'=>100
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71424900.4,'upkeep'=>2073702.6
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71424900.4,'upkeep'=>2073702.6
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956256,'upkeep'=>35451
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71424900.4,'upkeep'=>2073702.6
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398415,'upkeep'=>100
'woodp'=>20470000,'clayp'=>10320000,'ironp'=>9928000,'cropp'=>-199520567,'upkeep'=>219643287
'woodp'=>20470000,'clayp'=>10320000,'ironp'=>9928000,'cropp'=>-199520567,'upkeep'=>219643287
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398415,'upkeep'=>100
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956248,'upkeep'=>35459
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398415,'upkeep'=>100
'woodp'=>20224000,'clayp'=>20224000,'ironp'=>15328000,'cropp'=>77387853,'upkeep'=>544984
'woodp'=>20470000,'clayp'=>10320000,'ironp'=>9928000,'cropp'=>-199520567,'upkeep'=>219643287
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71424577,'upkeep'=>2074026
'woodp'=>20470000,'clayp'=>10320000,'ironp'=>9928000,'cropp'=>-199520567,'upkeep'=>219643287
'woodp'=>2400000,'clayp'=>2400000,'ironp'=>2400000,'cropp'=>3599188,'upkeep'=>0
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956237,'upkeep'=>35470
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956237,'upkeep'=>35470
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398407,'upkeep'=>100
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956229,'upkeep'=>35478
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956229,'upkeep'=>35478
'woodp'=>2400000,'clayp'=>2400000,'ironp'=>2400000,'cropp'=>3599188,'upkeep'=>0
'woodp'=>20224000,'clayp'=>20224000,'ironp'=>15328000,'cropp'=>77387790,'upkeep'=>545047
'woodp'=>20224000,'clayp'=>20224000,'ironp'=>15328000,'cropp'=>77387790,'upkeep'=>545047
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956229,'upkeep'=>35478
'woodp'=>20224000,'clayp'=>20224000,'ironp'=>15328000,'cropp'=>77387689,'upkeep'=>545148
'woodp'=>20470000,'clayp'=>10320000,'ironp'=>9928000,'cropp'=>-199520567,'upkeep'=>219643287
'woodp'=>19624000,'clayp'=>14754000,'ironp'=>19624000,'cropp'=>-8920480315,'upkeep'=>8949903622
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956217,'upkeep'=>35490
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956217,'upkeep'=>35490
'woodp'=>2400000,'clayp'=>2400000,'ironp'=>2400000,'cropp'=>3599181,'upkeep'=>0
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956217,'upkeep'=>35490
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956217,'upkeep'=>35490
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398407,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398407,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398407,'upkeep'=>100
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956187,'upkeep'=>35520
'woodp'=>20224000,'clayp'=>20224000,'ironp'=>15328000,'cropp'=>77387424,'upkeep'=>545413
'woodp'=>20224000,'clayp'=>20224000,'ironp'=>15328000,'cropp'=>77387424,'upkeep'=>545413
'woodp'=>19624000,'clayp'=>14754000,'ironp'=>19624000,'cropp'=>-8880511289,'upkeep'=>8909934596
'woodp'=>2400000,'clayp'=>2400000,'ironp'=>2400000,'cropp'=>3599181,'upkeep'=>0
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71423615,'upkeep'=>2074988
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398407,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398407,'upkeep'=>100
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956187,'upkeep'=>35520
'woodp'=>19624000,'clayp'=>14754000,'ironp'=>19624000,'cropp'=>-8840511289,'upkeep'=>8869934596
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71423429.8,'upkeep'=>2075173.2
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956176,'upkeep'=>35531
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956176,'upkeep'=>35531
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71423429.8,'upkeep'=>2075173.2
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956176,'upkeep'=>35531
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71423429.8,'upkeep'=>2075173.2
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71423190.2,'upkeep'=>2075412.8
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956162,'upkeep'=>35545
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4991550,'upkeep'=>157
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398407,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398407,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398407,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398407,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398407,'upkeep'=>100
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4991539,'upkeep'=>168
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71422644.8,'upkeep'=>2075958.2
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71422644.8,'upkeep'=>2075958.2
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398407,'upkeep'=>100
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4991522,'upkeep'=>185
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398407,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398407,'upkeep'=>100
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71422462,'upkeep'=>2076141
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398407,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398407,'upkeep'=>100
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71422234.6,'upkeep'=>2076368.4
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71422096.4,'upkeep'=>2076506.6
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71421286.8,'upkeep'=>2077316.2
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71420525.2,'upkeep'=>2078077.8
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71420480.6,'upkeep'=>2078122.4
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71420165,'upkeep'=>2078438
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71419763.6,'upkeep'=>2078839.4
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398407,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398407,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398407,'upkeep'=>100
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71418195.8,'upkeep'=>2080407.2
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398407,'upkeep'=>100
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71418195.8,'upkeep'=>2080407.2
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398407,'upkeep'=>100
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4991274,'upkeep'=>433
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4991244,'upkeep'=>463
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71416717.2,'upkeep'=>2081885.8
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71415101.4,'upkeep'=>2083501.6
'woodp'=>2100000,'clayp'=>2400000,'ironp'=>4000000,'cropp'=>4798724,'upkeep'=>396
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4991099,'upkeep'=>608
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4991031,'upkeep'=>676
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>20224000,'clayp'=>20224000,'ironp'=>15328000,'cropp'=>77381069,'upkeep'=>551768
'woodp'=>2100000,'clayp'=>2400000,'ironp'=>4000000,'cropp'=>4798724,'upkeep'=>396
'woodp'=>2100000,'clayp'=>2400000,'ironp'=>4000000,'cropp'=>4798724,'upkeep'=>396
'woodp'=>2100000,'clayp'=>2400000,'ironp'=>4000000,'cropp'=>4798724,'upkeep'=>396
'woodp'=>2100000,'clayp'=>2400000,'ironp'=>4000000,'cropp'=>4798724,'upkeep'=>396
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>20470000,'clayp'=>10320000,'ironp'=>9928000,'cropp'=>-199520577,'upkeep'=>219643287
'woodp'=>2100000,'clayp'=>2400000,'ironp'=>4000000,'cropp'=>4798724,'upkeep'=>396
'woodp'=>20224000,'clayp'=>20224000,'ironp'=>15328000,'cropp'=>77379652,'upkeep'=>553185
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>2100000,'clayp'=>2400000,'ironp'=>4000000,'cropp'=>4798724,'upkeep'=>396
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>20224000,'clayp'=>20224000,'ironp'=>15328000,'cropp'=>77378469,'upkeep'=>554368
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>20224000,'clayp'=>20224000,'ironp'=>15328000,'cropp'=>77378431,'upkeep'=>554406
'woodp'=>19600000,'clayp'=>19600000,'ironp'=>19600000,'cropp'=>74463546.8,'upkeep'=>1114977.2
'woodp'=>19600000,'clayp'=>19600000,'ironp'=>19600000,'cropp'=>74463538.8,'upkeep'=>1114985.2
'woodp'=>20470000,'clayp'=>10320000,'ironp'=>9928000,'cropp'=>-199520577,'upkeep'=>219643287
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>19600000,'clayp'=>19600000,'ironp'=>19600000,'cropp'=>74463450.8,'upkeep'=>1115073.2
'woodp'=>20224000,'clayp'=>20224000,'ironp'=>15328000,'cropp'=>77378083,'upkeep'=>554754
'woodp'=>20224000,'clayp'=>20224000,'ironp'=>15328000,'cropp'=>77378026,'upkeep'=>554811
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>19600000,'clayp'=>19600000,'ironp'=>19600000,'cropp'=>74463178.8,'upkeep'=>1115345.2
'woodp'=>20224000,'clayp'=>20224000,'ironp'=>15328000,'cropp'=>77377425,'upkeep'=>555412
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>19600000,'clayp'=>19600000,'ironp'=>19600000,'cropp'=>74463034.8,'upkeep'=>1115489.2
'woodp'=>20224000,'clayp'=>20224000,'ironp'=>15328000,'cropp'=>77377096,'upkeep'=>555741
'woodp'=>20470000,'clayp'=>10320000,'ironp'=>9928000,'cropp'=>-199520577,'upkeep'=>219643287
'woodp'=>20470000,'clayp'=>10320000,'ironp'=>9928000,'cropp'=>-199520577,'upkeep'=>219643287
'woodp'=>19600000,'clayp'=>19600000,'ironp'=>19600000,'cropp'=>74462898.8,'upkeep'=>1115625.2
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>20470000,'clayp'=>10320000,'ironp'=>9928000,'cropp'=>-199520577,'upkeep'=>219643287
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>19600000,'clayp'=>19600000,'ironp'=>19600000,'cropp'=>74462482.8,'upkeep'=>1116041.2
'woodp'=>14700000,'clayp'=>24500000,'ironp'=>19600000,'cropp'=>28892485,'upkeep'=>505818
'woodp'=>20470000,'clayp'=>10320000,'ironp'=>9928000,'cropp'=>-199520577,'upkeep'=>219643287
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398399,'upkeep'=>100
'woodp'=>2100000,'clayp'=>2400000,'ironp'=>4000000,'cropp'=>4798724,'upkeep'=>396
'woodp'=>14700000,'clayp'=>24500000,'ironp'=>19600000,'cropp'=>28892485,'upkeep'=>505818
'woodp'=>2100000,'clayp'=>2400000,'ironp'=>4000000,'cropp'=>4798724,'upkeep'=>396
'woodp'=>2100000,'clayp'=>2400000,'ironp'=>4000000,'cropp'=>4798724,'upkeep'=>396
'woodp'=>20470000,'clayp'=>10320000,'ironp'=>9928000,'cropp'=>-199520577,'upkeep'=>219643287
'woodp'=>14700000,'clayp'=>24500000,'ironp'=>19600000,'cropp'=>28892485,'upkeep'=>505818
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398391,'upkeep'=>100
'woodp'=>2100000,'clayp'=>2400000,'ironp'=>4000000,'cropp'=>4798724,'upkeep'=>396
'woodp'=>14700000,'clayp'=>24500000,'ironp'=>19600000,'cropp'=>28892485,'upkeep'=>505818
'woodp'=>14700000,'clayp'=>24500000,'ironp'=>19600000,'cropp'=>28892485,'upkeep'=>505818
'woodp'=>2100000,'clayp'=>2400000,'ironp'=>4000000,'cropp'=>4798724,'upkeep'=>396
'woodp'=>3600000,'clayp'=>2100000,'ironp'=>3000000,'cropp'=>5399145,'upkeep'=>0
'woodp'=>14700000,'clayp'=>24500000,'ironp'=>19600000,'cropp'=>28892485,'upkeep'=>505818
'woodp'=>14700000,'clayp'=>24500000,'ironp'=>19600000,'cropp'=>28892485,'upkeep'=>505818
'woodp'=>14700000,'clayp'=>24500000,'ironp'=>19600000,'cropp'=>28892485,'upkeep'=>505818
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398391,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398391,'upkeep'=>100
'woodp'=>14700000,'clayp'=>24500000,'ironp'=>19600000,'cropp'=>28892485,'upkeep'=>505818
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398391,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398391,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398391,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398391,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398391,'upkeep'=>100
'woodp'=>20470000,'clayp'=>10320000,'ironp'=>9928000,'cropp'=>-199520577,'upkeep'=>219643287
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398391,'upkeep'=>100
'woodp'=>3600000,'clayp'=>2100000,'ironp'=>3000000,'cropp'=>5399145,'upkeep'=>0
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71388349.4,'upkeep'=>2110253.6
'woodp'=>14700000,'clayp'=>24500000,'ironp'=>19600000,'cropp'=>28892485,'upkeep'=>505818
'woodp'=>14700000,'clayp'=>24500000,'ironp'=>19600000,'cropp'=>28892485,'upkeep'=>505818
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71386870.8,'upkeep'=>2111732.2
'woodp'=>20224000,'clayp'=>20224000,'ironp'=>15328000,'cropp'=>77371168,'upkeep'=>561669
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71386016.6,'upkeep'=>2112586.4
'woodp'=>14700000,'clayp'=>24500000,'ironp'=>19600000,'cropp'=>28892143,'upkeep'=>506160
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398391,'upkeep'=>100
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71384764.4,'upkeep'=>2113838.6
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71383824.4,'upkeep'=>2114778.6
'woodp'=>20224000,'clayp'=>20224000,'ironp'=>15328000,'cropp'=>77369827,'upkeep'=>563010
'woodp'=>14700000,'clayp'=>24500000,'ironp'=>19600000,'cropp'=>28891576,'upkeep'=>506727
'woodp'=>20224000,'clayp'=>20224000,'ironp'=>15328000,'cropp'=>77369827,'upkeep'=>563010
'woodp'=>20224000,'clayp'=>20224000,'ironp'=>15328000,'cropp'=>77369827,'upkeep'=>563010
'woodp'=>14700000,'clayp'=>24500000,'ironp'=>19600000,'cropp'=>28891567,'upkeep'=>506736
'woodp'=>20224000,'clayp'=>20224000,'ironp'=>15328000,'cropp'=>77369808,'upkeep'=>563029
'woodp'=>20224000,'clayp'=>20224000,'ironp'=>15328000,'cropp'=>77369498,'upkeep'=>563339
'woodp'=>20224000,'clayp'=>20224000,'ironp'=>15328000,'cropp'=>77369479,'upkeep'=>563358
'woodp'=>20224000,'clayp'=>20224000,'ironp'=>15328000,'cropp'=>77369169,'upkeep'=>563668
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71381220.6,'upkeep'=>2117382.4
'woodp'=>14700000,'clayp'=>24500000,'ironp'=>19600000,'cropp'=>28891189,'upkeep'=>507114
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71380592.8,'upkeep'=>2118010.2
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71380369.8,'upkeep'=>2118233.2
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71379162.2,'upkeep'=>2119440.8
'woodp'=>14700000,'clayp'=>24500000,'ironp'=>19600000,'cropp'=>28890802,'upkeep'=>507501
'woodp'=>14700000,'clayp'=>24500000,'ironp'=>19600000,'cropp'=>28890739,'upkeep'=>507564
